listing_id,source,url,title,description,price_vnd,area_m2,address_raw,city,district,ward,house_type,latitude,longitude,electric_price,water_price,wifi_price,other_utilities_price,parking_fee,air_conditioner,water_heater,refrigerator,washing_machine,elevator,balcony_window,fire_safety,pet_allowed,room_type,posted_at_raw,phone_number,image_urls,n_images,crawled_at
phongtro123_613385,phongtro123,https://phongtro123.com/cho-thue-nha-tap-the-tang-1-co-cho-de-xe-rieng-loi-di-biet-lap-pr613385.html,"Cho thuê phòng tập thể tầng 1, 25m2, có chỗ để xe riêng, lối đi biệt lập","Căn hộ 1 phòng, với diện tích từ 25m2. Giá 2.8T/phòng/tháng. Chỗ để xe máy miễn phí, điện nước tính theo giá nhà nước. Thuận tiện gần trường học, sân chơi, công viên, bệnh viện, chợ...
Địa chỉ tại tầng 1, nhà B3, tập thể Nghĩa Tân, quận Cầu Giấy.
Liên hệ chính chủ, ông Nguyễn Hữu Lộc 0913209940.",3200000,25.0,"104 tập thể B3 Đường Tô Hiệu, Phường Nghĩa Đô, Hà Nội",hà nội,Cầu Giấy,Nghĩa Đô,Phòng trọ khép kín,21.047802,105.796791,Điện giá dân,,,,,False,False,False,False,False,False,False,False,phòng trọ,"Thứ 3, 23:07 08/09/2026",0913209940,"[""https://pt123.cdn.static123.com/images/thumbs/900x600/fit/2023/02/26/img-4640_1677425317.jpg"", ""https://pt123.cdn.static123.com/images/thumbs/900x600/fit/2023/02/26/img-4643_1677425313.jpg"", ""https://pt123.cdn.static123.com/images/thumbs/450x300/fit/2024/03/29/2_1711684797.jpg"", ""https://pt123.cdn.static123.com/images/thumbs/450x300/fit/2026/09/01/img-6803_1788232468.png"", ""https://pt123.cdn.static123.com/images/thumbs/450x300/fit/2026/09/03/img-6803_1788369345.png"", ""https://pt123.cdn.static123.com/images/thumbs/450x300/fit/2026/09/03/img-6803_1788369704.png"", ""https://pt123.cdn.static123.com/images/thumbs/450x300/fit/2026/09/03/img-6803_1788369246.png"", ""https://pt123.cdn.static123.com/images/thumbs/450x300/fit/2025/05/08/11_1746698807.png""]",8,2026-09-11T19:38:46.871939
phongtro123_709414,phongtro123,https://phongtro123.com/cho-thue-homestay-phong-tro-full-noi-that-gan-ho-den-lu-hoang-mai-pr709414.html,"CHO THUÊ HOMESTAY/PHÒNG TRỌ FULL NỘI THẤT – GẦN HỒ ĐỀN LỪ, HOÀNG MAI","Địa chỉ: Ngõ 147A đường Tân Mai, quận Hoàng Mai, Hà Nội.
Bạn đang tìm một nơi ở sạch sẽ, đầy đủ tiện nghi với chi phí hợp lý? Đây là lựa chọn phù hợp cho sinh viên và người đi làm.
Thông tin phòng:
Diện tích mỗi tầng khoảng 50m², không gian rộng rãi, thoáng mát.
Giá chỉ 1,5 triệu/người/tháng – đã bao gồm tiền điện và nước, không phát sinh chi phí.
️ Nội thất đầy đủ, chỉ cần xách vali vào ở:
️ Điều hòa
️ Bình nóng lạnh
️ Máy giặt
️ Tủ lạnh
️ Bình lọc nước
️ Giường, tủ và các tiện nghi sinh hoạt cơ bản
Vị trí thuận tiện:
Gần Hồ Đền Lừ, không gian thoáng mát, thuận tiện tập thể dục và thư giãn.
Di chuyển nhanh đến các trường Đại học Kinh tế Quốc dân, Đại học Xây dựng Hà Nội, Đại học Bách khoa Hà Nội.
Xung quanh đầy đủ chợ, siêu thị, cửa hàng tiện lợi, quán ăn và các dịch vụ thiết yếu.
Giao thông thuận tiện, dễ dàng kết nối các tuyến đường lớn trong khu vực.
Giá thuê: 1,5 triệu/người/tháng (đã bao gồm điện và nước).
Liên hệ chính chủ: 0982 814 386 để xem phòng và nhận phòng ngay.
Phòng đẹp – Full nội thất – Chi phí tiết kiệm – Vị trí thuận tiện. Số lượng có hạn, liên hệ sớm để chọn được phòng ưng ý!",1500000,50.0,"107 Đường Tân Mai, Phường Hoàng Mai, Hà Nội",hà nội,Hoàng Mai,Hoàng Mai,Phòng trọ khép kín,20.976077,105.852492,,,,,,True,True,True,True,False,True,False,False,phòng trọ,"Thứ 5, 17:49 09/07/2026",0982814386,"[""https://pt123.cdn.static123.com/images/thumbs/900x600/fit/2026/07/09/2_1783594073.jpg"", ""https://pt123.cdn.static123.com/images/thumbs/900x600/fit/2026/07/09/1_1783594073.jpg"", ""https://pt123.cdn.static123.com/images/thumbs/900x600/fit/2026/07/09/3_1783594074.jpg"", ""https://pt123.cdn.static123.com/images/thumbs/900x600/fit/2026/07/09/4_1783594074.jpg"", ""https://pt123.cdn.static123.com/images/thumbs/450x300/fit/2026/09/03/img-6803_1788369704.png"", ""https://pt123.cdn.static123.com/images/thumbs/450x300/fit/2026/09/03/img-6803_1788369246.png"", ""https://pt123.cdn.static123.com/images/thumbs/450x300/fit/2024/03/29/2_1711684797.jpg"", ""https://pt123.cdn.static123.com/images/thumbs/450x300/fit/2026/09/01/img-6803_1788232468.png""]",8,2026-09-11T11:51:20.464255
phongtro123_712505,phongtro123,https://phongtro123.com/cho-thue-hop-ngu-sleep-box-bach-kinh-xay-dh-mo-hai-ba-trung-pr712505.html,"Cho thuê hộp ngủ sleep box Bách - Kinh - Xây, ĐH Mở, Hai Bà Trưng","Cho thuê hộp ngủ sleep box Bách - Kinh - Xây, ĐH Mở, Hai Bà Trưng
Đầy đủ điều hoà, nóng lạnh, giường tủ, máy giặt, tủ lạnh.
Chỗ để xe miễn phí, nhà 3 mặt thoáng, cửa sổ thoáng khí.
Không chung chủ. Camera an ninh 24/7. Cửa vân tay, giờ giấc thoải mái.
Hộp ngủ sleep box khoá riêng tư 1tr4/tháng,
Ở ngõ 52 Tạ Quang Bửu gần Bách - Kinh - Xây các bạn có thể đi bộ đi học.
️ Chi tiết LH Zalo/sđt 0914316330",1400000,39.0,"5 Phố Tạ Quang Bửu, Phường Bạch Mai, Hà Nội",hà nội,Hai Bà Trưng,Bạch Mai,Phòng trọ khép kín,21.001,105.85,,,,,Miễn phí,False,True,True,True,False,True,False,False,phòng trọ,"Thứ 6, 16:04 04/09/2026",0914316330,"[""https://pt123.cdn.static123.com/images/thumbs/900x600/fit/2026/09/04/gemini-generated-image-9py38o9py38o9py3_1788512531.png"", ""https://pt123.cdn.static123.com/images/thumbs/900x600/fit/2026/09/04/20260731-212209_1788512551.jpg"", ""https://pt123.cdn.static123.com/images/thumbs/900x600/fit/2026/09/04/733263786-1592731098937843-1400497824467023644-n_1788512570.jpg"", ""https://pt123.cdn.static123.com/images/thumbs/450x300/fit/2024/03/29/2_1711684797.jpg"", ""https://pt123.cdn.static123.com/images/thumbs/450x300/fit/2026/09/01/img-6803_1788232468.png"", ""https://pt123.cdn.static123.com/images/thumbs/450x300/fit/2026/09/03/img-6803_1788369345.png"", ""https://pt123.cdn.static123.com/images/thumbs/450x300/fit/2026/09/03/img-6803_1788369704.png"", ""https://pt123.cdn.static123.com/images/thumbs/450x300/fit/2026/09/03/img-6803_1788369246.png""]",8,2026-09-11T11:50:39.613077
phongtro123_711058,phongtro123,https://phongtro123.com/cho-thue-nha-mo-lao-ha-dong-doi-dien-hoc-vien-an-ninh-pr711058.html,Cho thuê phòng studio Mộ Lao Hà Đông đối diện học viện An Ninh,"CHO THUÊ PHÒNG STUDIO - AN HÒA, MỘ LAO, HÀ ĐÔNG
Đối diện Học viện An ninh Nhân dân
Giá chỉ: 3.600.000đ/tháng
Phòng đẹp, sạch sẽ, rộng rãi, đầy đủ đồ cơ bản:
* Giường, tủ quần áo.
* Điều hòa.
* Khu bếp riêng có chậu rửa.
* WC khép kín, sạch sẽ.
* Cửa sổ thoáng, nhiều ánh sáng tự nhiên.
* Chỉ cần xách vali đến ở.
Vị trí cực thuận tiện:
* Đối diện Học viện An ninh.
* Gần Học viện Bưu chính Viễn thông, Đại học Kiến trúc, Đại học Hà Nội.
* Gần chợ, siêu thị, bến xe buýt, nhiều hàng quán.
Liên hệ: 0963601993 để xem phòng trực tiếp. Phòng đẹp, số lượng có hạn!",3600000,20.0,"Đường An Hòa, Phường Hà Đông, Hà Nội",hà nội,Hà Đông,Hà Đông,Studio khép kín,20.963272,105.76518,,,,,,True,False,False,False,False,True,False,False,phòng trọ,"Thứ 7, 09:51 08/08/2026",0775622679,"[""https://pt123.cdn.static123.com/images/thumbs/900x600/fit/2026/08/08/img-0026_1786157458.jpg"", ""https://pt123.cdn.static123.com/images/thumbs/900x600/fit/2026/08/08/img-0027_1786157458.jpg"", ""https://pt123.cdn.static123.com/images/thumbs/900x600/fit/2026/08/08/img-0028_1786157459.jpg"", ""https://pt123.cdn.static123.com/images/thumbs/450x300/fit/2024/03/29/2_1711684797.jpg"", ""https://pt123.cdn.static123.com/images/thumbs/450x300/fit/2026/09/01/img-6803_1788232468.png"", ""https://pt123.cdn.static123.com/images/thumbs/450x300/fit/2026/09/03/img-6803_1788369345.png"", ""https://pt123.cdn.static123.com/images/thumbs/450x300/fit/2026/09/03/img-6803_1788369704.png"", ""https://pt123.cdn.static123.com/images/thumbs/450x300/fit/2026/09/03/img-6803_1788369246.png""]",8,2026-09-11T11:51:00.053000
phongtro123_712769,phongtro123,https://phongtro123.com/tim-1-nu-nhuong-lai-cho-o-ghep-trung-tam-phu-nhuan-gio-giac-tu-do-xach-vali-vao-o-ngay-pr712769.html,TÌM 1 NỮ NHƯỢNG LẠI CHỖ Ở GHÉP – TRUNG TÂM PHÚ NHUẬN (Giờ giấc tự do – Xách vali vào ở ngay),"Tìm nữ nhượng lại chỗ ở ghép ngay trung tâm Phú Nhuận
Sát ranh Quận 1, Quận 3, Quận 10 và Gò Vấp thuận tiện di chuyển
Chỉ cần đi bộ vài bước là đến ĐH Tài nguyên & Môi trường.
Chưa tới 10 phút xe máy để qua ĐH Bách Khoa, ĐH Kinh tế. Giao thông cực kỳ thuận lợi cho sinh viên và người đi làm.
Không gian sống cực mê:
Khu vực dân trí cao, siêu an ninh, yên tĩnh và không khí trong lành.
Phòng rộng 20m², đã được trang bị đầy đủ tiện nghi: Máy lạnh, tủ lạnh, máy giặt, nước nóng lạnh.
Khu vực bếp núc thoải mái, được tự do nấu nướng.
Chi phí: Chỉ 2.500.000đ/tháng (đã chia đôi tiền phòng).
Yêu cầu nho nhỏ: Ưu tiên 1 bạn nữ có lối sống gọn gàng, sạch sẽ, văn minh và tôn trọng không gian chung.
Lý do nhượng gấp: Hiện tại mình đang có việc gia đình cần chuyển về Tây Ninh gấp nên muốn tìm người thay thế vị trí của mình. Phòng đang ở rất tốt, đồ đạc có đủ 100%, bạn chỉ việc xách vali vào là ở ngay. Mình sẵn sàng hỗ trợ thương lượng hoặc giảm chút đỉnh chi phí tháng đầu cho bạn nào thiện chí, chốt nhanh gọn!
Bạn nào đang cần tìm một không gian sống an toàn, ngay trung tâm thì nhắn Zalo cho Hạ qua số 0839740742 để qua xem phòng trực tiếp nhé!",2500000,20.0,"số 1162 Trường Sa, Phường Phú Nhuận, Hồ Chí Minh",hồ chí minh,Phú Nhuận,Phú Nhuận,Phòng trọ khép kín,10.7997,106.6806,,,,,,True,True,True,True,False,False,False,False,phòng trọ,"Thứ 5, 08:53 10/09/2026",0839740742,"[""https://pt123.cdn.static123.com/images/thumbs/900x600/fit/2026/09/10/tu-lanh-1_1789005119.jpg"", ""https://pt123.cdn.static123.com/images/thumbs/900x600/fit/2026/09/10/ban-cong-1_1789005128.jpg"", ""https://pt123.cdn.static123.com/images/thumbs/450x300/fit/2026/07/09/1783325945354-3746016084277305416-3746016084277305416-dceda4b5e4468ef1a8d703b4df0c0ea7_1783566154.jpg"", ""https://pt123.cdn.static123.com/images/thumbs/450x300/fit/2026/07/07/1783393715485-3411155572226349786-3411155572226349786-5e37573afa5b1e159429a2087db99f32_1783395662.jpg"", ""https://pt123.cdn.static123.com/images/thumbs/450x300/fit/2026/06/28/img-0954_1782655542.jpg"", ""https://pt123.cdn.static123.com/images/thumbs/450x300/fit/2026/06/04/img-7083_1780589570.jpg"", ""https://pt123.cdn.static123.com/images/thumbs/450x300/fit/2026/04/17/hi_1776406071.jpg"", ""https://pt123.cdn.static123.com/images/thumbs/450x300/fit/2026/01/14/img-0912_1768403057.png""]",8,2026-09-10T10:39:54.966858
phongtro123_712044,phongtro123,https://phongtro123.com/thue-nha-phong-tro-gia-lam-ha-noi-pr712044.html,"Thuê nhà/phòng trọ Gia Lâm, Hà Nội","Cho thuê phòng trọ ở lâu dài tại khu vực Gia Lâm, Hà Nội theo địa giới hành chính cũ (đầu Cầu Đuống, mặt đường quốc lộ, gần chợ, gần bến xe buýt, đi lại thuận tiện). Phòng trọ có công trình phụ khép kín, mát mẻ, sạch sẽ hợp vệ sinh. Phòng ngủ, phòng ăn và bếp rộng. Nhà vệ sinh có sẵn vòi tắm sen, bình nóng lạnh. Có sẵn máy giặt, tủ lạnh. Điện, nước có đồng hồ riêng, có internet, truyền hình cáp, điều hòa 12000 BTU. Giá rẻ 2.5 triệu, phòng đẹp như ở chung cư mới. Phù hợp cho những gia đình làm công nhân, cặp vợ chồng có con nhỏ. Bên cạnh đó có thể sử dụng làm văn phòng, bán hàng online. Liên hệ với chị Lê Thị Thủy: 0911072968 (LH ngoài giờ hành chính).",2500000,59.0,"68 Đường Thiên Đức, Xã Phù Đổng, Hà Nội",hà nội,Gia Lâm,Phù Đổng,Studio khép kín,21.028511,105.804817,,,,,,True,True,True,True,False,False,False,False,phòng trọ,"Thứ 2, 20:51 24/08/2026",0911072968,"[""https://pt123.cdn.static123.com/images/thumbs/900x600/fit/2026/08/24/20200802-163208_1787579355.jpg"", ""https://pt123.cdn.static123.com/images/thumbs/900x600/fit/2026/08/24/20200802-161815_1787579368.jpg"", ""https://pt123.cdn.static123.com/images/thumbs/900x600/fit/2026/08/24/20200802-163501_1787579368.jpg"", ""https://pt123.cdn.static123.com/images/thumbs/900x600/fit/2026/08/24/20200805-165412_1787579373.jpg"", ""https://pt123.cdn.static123.com/images/thumbs/900x600/fit/2026/08/24/20200807-170333_1787579373.jpg"", ""https://pt123.cdn.static123.com/images/thumbs/900x600/fit/2026/08/24/20200807-170644_1787579376.jpg"", ""https://pt123.cdn.static123.com/images/thumbs/900x600/fit/2026/08/24/20200807-215259_1787579377.jpg"", ""https://pt123.cdn.static123.com/images/thumbs/900x600/fit/2026/08/24/20200807-215627_1787579381.jpg""]",8,2026-09-11T11:50:46.425921
phongtro123_710711,phongtro123,https://phongtro123.com/cho-thue-phong-day-du-noi-that-3-trieu-tai-nam-du-vinh-hung-pr710711.html,CHO THUÊ PHÒNG ĐẦY ĐỦ NỘI THẤT - 3 TRIỆU - TẠI NAM DƯ VĨNH HƯNG,"Phòng của anh ở ngõ 8 số nhà 9 nam dư phường vĩnh Hưng
NỘI THẤT CÓ : Điều Hoà , Nóng Lạnh , Tủ Lạnh , Tủ Bếp , Bàn Bếp , tủ bếp , bếp từ , giường , tủ quần áo , ga gối đệm , rèm
- cửa sổ thoáng
- Vệ sinh khép kín
- Giá 3 : triệu/ tháng
- DỊCH VỤ
- điện 4k / số
- nước 35k/ khối
- mạng 100k/ phòng
- dịch vụ 150k/ phòng : bao gồm máy giặt , vệ sinh , rác , điện hành lang, vân tay
- em quan tâm xin liên hệ : 0845451992 - 0364550555",3000000,25.0,"8 Đường Nam Dư, Phường Vĩnh Hưng, Hà Nội",hà nội,Hoàng Mai,Vĩnh Hưng,Studio khép kín,20.987,105.878,4k / số,35k/ khối,100k/ phòng,150k/ phòng,,False,True,True,True,False,True,False,False,phòng trọ,"Chủ Nhật, 20:25 02/08/2026",0364550555,"[""https://pt123.cdn.static123.com/images/thumbs/900x600/fit/2026/08/02/img-4602_1785677016.jpg"", ""https://pt123.cdn.static123.com/images/thumbs/900x600/fit/2026/08/02/img-4603_1785677016.jpg"", ""https://pt123.cdn.static123.com/images/thumbs/900x600/fit/2026/08/02/img-4605_1785677018.jpg"", ""https://pt123.cdn.static123.com/images/thumbs/900x600/fit/2026/08/02/img-4604_1785677018.jpg"", ""https://pt123.cdn.static123.com/images/thumbs/450x300/fit/2024/03/29/2_1711684797.jpg"", ""https://pt123.cdn.static123.com/images/thumbs/450x300/fit/2026/09/01/img-6803_1788232468.png"", ""https://pt123.cdn.static123.com/images/thumbs/450x300/fit/2026/09/03/img-6803_1788369345.png"", ""https://pt123.cdn.static123.com/images/thumbs/450x300/fit/2026/09/03/img-6803_1788369704.png""]",8,2026-09-11T11:51:01.280776
phongtro123_688276,phongtro123,https://phongtro123.com/phong-tro-700k-gan-duong-pham-van-dong-an-ninh-tot-pr688276.html,Phòng trọ 700k gần đường Phạm Văn Đồng an ninh tốt,"Cho thuê phòng trọ 700 nghìn/tháng gần Mỏ, Tài Chính, Đường Phạm Văn Đồng, công viên Hòa Bình an ninh tốt.
- Phòng 700K , vệ sinh chung, phòng thoáng mát, khuôn viên rộng, nhiều cây xanh mát mẻ yên tĩnh.
- Nhà riêng chủ, giao chìa khóa cổng cho các phòng, đi lại giờ giấc thoải mái
- Diện tích: 12 - 14m2.
- Giá phòng: 700.000đ/tháng.
- Điện giá dân.
- Nước 20.000đ/m3 chia đầu người (chưa tháng nào vượt quá 70.000đ/người).
- Khi chuyển vào đóng 1 tháng tiền nhà tháng hiện tại + 400.000đ cọc phòng (khi nào chuyển đi chủ nhà gửi lại).
- Giới hạn số người ở trong phòng: 01 người ở.
- Ưu tiên thuê ở ổn định, thời gian thuê tối thiểu 3 tháng, không cho thuê 1 hoặc 2 tháng.
- Vào xem phòng từ 7h đến 16h, không cho xem phòng buổi tối.
- Vị trí: Nhà cạnh khu đô thị Handi Resco, nhiều hàng quán ăn, chợ cóc cho SV.
- Đường đi rộng, thuận tiện. Nhà cách đường Phạm Văn Đồng 100m, công viên Hòa Bình 120m, bến xe Nam Thăng Long 300m.
- Cách trường: Tài Chính Ngân Hàng, Mỏ, Tài Chính, Tài Nguyên Môi Trường = 1km. Du Lịch, Điện Lực = 1,5km. Thương Mại, ĐH Sư Phạm, ĐH Quốc Gia = 2km.
- Nhà gần vườn hoa khu đô thị, rất tốt để tập thể dục hoặc thư giãn sau khi đi học, đi làm về.
- Liên hệ chính chủ bác Tuyết.
- Địa chỉ: Số nhà 82, ngõ 280 đường Cổ Nhuế (lối vào khu đô thị Handi Resco - Phạm Văn Đồng > Phố Chế Lan Viên > Ngõ 18 Phố Chế Lan Viên, nhìn đối diện sang là ngõ 280 đường Cổ Nhuế, nhà ngay đầu ngõ),phường Cổ Nhuế 2, Bắc Từ Liêm, Hà Nội.
- Định vị google maps: 21°03'55.4""N 105°46'53.1""E",700000,14.0,"82 ngõ 280 Đường Cổ Nhuế, Phường Đông Ngạc, Hà Nội",hà nội,Bắc Từ Liêm,Đông Ngạc,Nhà nguyên căn,21.082,105.775,Điện giá dân,20.000đ/m3,,,,False,False,False,False,False,True,False,False,phòng trọ,"Thứ 6, 16:12 14/08/2026",0934624378,"[""https://pt123.cdn.static123.com/images/thumbs/900x600/fit/2025/08/04/ngoai-day-tro-1_1754273290.jpg"", ""https://pt123.cdn.static123.com/images/thumbs/900x600/fit/2025/08/04/trong-phong-2_1754273324.jpg"", ""https://pt123.cdn.static123.com/images/thumbs/900x600/fit/2025/08/04/trong-phong-3_1754273324.jpg"", ""https://pt123.cdn.static123.com/images/thumbs/450x300/fit/2024/03/29/2_1711684797.jpg"", ""https://pt123.cdn.static123.com/images/thumbs/450x300/fit/2026/09/01/img-6803_1788232468.png"", ""https://pt123.cdn.static123.com/images/thumbs/450x300/fit/2026/09/03/img-6803_1788369345.png"", ""https://pt123.cdn.static123.com/images/thumbs/450x300/fit/2026/09/03/img-6803_1788369704.png"", ""https://pt123.cdn.static123.com/images/thumbs/450x300/fit/2026/09/03/img-6803_1788369246.png""]",8,2026-09-11T11:50:54.469495
phongtro123_710391,phongtro123,https://phongtro123.com/cho-thue-ccmn-nha-tro-gia-re-khu-vuc-nhon-va-nguyen-xa-pr710391.html,"Cho thuê ccmn, nhà trọ giá rẻ khu vực nhổn và nguyên xá","cho thuê trọ :
- ngõ 30 phố nhổn ( cách đại học công nghiệp 400m )
- ngõ 35/41 tu hoàng( cách đại học công nghiệp 600-700m )
- gần cao đẳng fpt , cách cđ fpt 200m
- ngõ 60 nguyên xa ( cách đại học công nghiệp 800m)
Ai có nhu cầu lh mình với ạ 0775143309",3500000,25.0,"Đường Nguyên Xá, Phường Từ Liêm, Hà Nội",hà nội,Bắc Từ Liêm,Từ Liêm,Chung cư mini (CCMN),21.015243,105.765435,,,,,,False,False,False,False,False,False,False,False,phòng trọ,"Thứ 3, 15:22 28/07/2026",0775143309,"[""https://pt123.cdn.static123.com/images/thumbs/900x600/fit/2026/07/28/img-0271_1785226855.jpg"", ""https://pt123.cdn.static123.com/images/thumbs/900x600/fit/2026/07/28/img-0242_1785226851.jpg"", ""https://pt123.cdn.static123.com/images/thumbs/450x300/fit/2024/03/29/2_1711684797.jpg"", ""https://pt123.cdn.static123.com/images/thumbs/450x300/fit/2026/09/01/img-6803_1788232468.png"", ""https://pt123.cdn.static123.com/images/thumbs/450x300/fit/2026/09/03/img-6803_1788369345.png"", ""https://pt123.cdn.static123.com/images/thumbs/450x300/fit/2026/09/03/img-6803_1788369704.png"", ""https://pt123.cdn.static123.com/images/thumbs/450x300/fit/2026/09/03/img-6803_1788369246.png"", ""https://pt123.cdn.static123.com/images/thumbs/450x300/fit/2025/05/08/11_1746698807.png""]",8,2026-09-11T11:51:00.340920
phongtro123_712756,phongtro123,https://phongtro123.com/gac-lung-cua-so-troi-full-tien-nghi-xvnt-gan-nga-tu-hang-xanh-2-pr712756.html,Gác lửng cửa sổ trời full tiện nghi - XVNT gần Ngã tư hàng xanh,"- Tòa nhà nằm ở : 860 Xô Viết Nghệ Tĩnh - Phường 25 - Bình Thạnh
+ Nằm ở trung tâm Bình Thạnh, thuận tiện đi qua các quận khác
+ Gần ngã tư Hàng Xanh
+ Khu vực gần nhiều trường Đại học như : ĐH Hồng Bàng, ĐH Ngoại Thương, ĐH Hutech, ĐH Giao Thông Vận Tải,...
+ Lái xe 5 phút tới bến xe Miền Đông, cách sân bay Tân Sơn Nhất chỉ 15 phút di chuyển
+ Gần công viên thanh đa
- Cửa sổ trời lớn, siêu thoáng mát, đón đủ nắng ấm, đủ khí tươi mỗi ngày
- Trang bị full nội thất, dọn vào ở ngay
- Hệ thống PCCC đầy đủ
- Giờ giấc tự do, ra vào vân tay, có camera giám sát 24/7
- Xung quanh đầy đủ tiện nghi, cửa hàng, hàng quán
- Gần công viên Thanh Đa thì bạn khỏi lo ngại sợ đói, sợ buồn
- Khách trong tòa nhà đã được chọn lọc kỹ, đảm bảo lối sống an ninh, văn minh
# GIÁ CHỈ : 4tr9/tháng cho 2 người 2 xe, dọn vào ở ngay
*** NHANH TAY LIÊN HỆ CHO ANH AN CHÍNH CHỦ ĐỂ ĐƯỢC ĐI XEM PHÒNG SỚM NHẤT",4900000,25.0,"860 Đường Xô Viết Nghệ Tĩnh, Phường Thạnh Mỹ Tây, Hồ Chí Minh",hồ chí minh,Bình Thạnh,Thạnh Mỹ Tây,Gác xép / Duplex,10.776889,106.700806,,,,,,False,False,False,False,False,True,True,False,phòng trọ,"Thứ 4, 20:17 09/09/2026",0903114243,"[""https://pt123.cdn.static123.com/images/thumbs/900x600/fit/2026/09/09/1788424044891-4166994309091193052-g5246088033731942597-ce0370778d30eebd837c673a841eabcf_1788959835.jpg"", ""https://pt123.cdn.static123.com/images/thumbs/900x600/fit/2026/09/09/1788424044920-4166994309091193052-g5246088033731942597-415d96381d7eead8ba53ec112aa7ab5b_1788959835.jpg"", ""https://pt123.cdn.static123.com/images/thumbs/900x600/fit/2026/09/09/1788424044938-4166994309091193052-g5246088033731942597-60c8689e804fad04c5f1e7fb4143a5f1_1788959839.jpg"", ""https://pt123.cdn.static123.com/images/thumbs/900x600/fit/2026/09/09/1788424044952-4166994309091193052-g5246088033731942597-d99489fa9a169415c1659662498a375a_1788959839.jpg"", ""https://pt123.cdn.static123.com/images/thumbs/900x600/fit/2026/09/09/1788424044963-4166994309091193052-g5246088033731942597-54707636a29200005971ce0845e89127_1788959843.jpg"", ""https://pt123.cdn.static123.com/images/thumbs/900x600/fit/2026/09/09/1788424044972-4166994309091193052-g5246088033731942597-89f61ae3a16f2242331e9c26ae30d583_1788959843.jpg"", ""https://pt123.cdn.static123.com/images/thumbs/900x600/fit/2026/09/09/z7953737464632-07b91df45d429b68ac62364cfd8edcd2_1788959847.jpg"", ""https://pt123.cdn.static123.com/images/thumbs/450x300/fit/2025/11/10/z7210006520763-5a4e2f3bcf127fa955251bfa59b84ade_1762781665.jpg""]",8,2026-09-10T02:39:45.716635
