platform,listing_id,title,district,ward,address,price_vnd,house_type,area_m2,electric_price,water_price,wifi_price,other_utilities_price,parking_fee,air_conditioner,water_heater,refrigerator,washing_machine,elevator,balcony_window,pet_allowed,amenities_list,latitude,longitude,contact_phone,image_count,image_urls,listing_url
YourHome.top,YH_1789011591482,NGÕ 18 NGUYÊN HỒNG,Đống Đa,Láng Hạ,NGÕ 18 NGUYÊN HỒNG,12000000,1 Phòng Ngủ (1PN/1N1K),50,4000,120000,100000,150000,0,1,1,1,1,1,1,0,Wifi; Điều hòa; Nóng lạnh; Tủ lạnh; Giường; Tủ quần áo; Kệ bếp; Máy giặt chung; Ban công; Thang máy,21.01771478,105.8113592,0968599313,7,https://yourhome.top/images/room-image-1789011492634-0-1789011537637.jpg | https://yourhome.top/images/room-image-1789011493753-1-1789011538716.jpg | https://yourhome.top/images/room-image-1789011494192-2-1789011539091.jpg | https://yourhome.top/images/room-image-1789011494629-3-1789011539567.jpg | https://yourhome.top/images/room-image-1789011495078-4-1789011539984.jpg | https://yourhome.top/images/room-image-1789011495454-5-1789011540365.jpg | https://yourhome.top/images/room-image-1789011495857-6-1789011540778.jpg,https://yourhome.top/?city=ha-noi
YourHome.top,YH_1789009571424,"Ngõ 204 Trần duy hưng , ngách 5",Cầu Giấy,Trung Hòa,"Ngõ 204 Trần duy hưng , ngách 5",3800000,Studio khép kín,25,4000,35000,100000,150000,0,1,1,1,1,0,1,0,Wifi; Điều hòa; Nóng lạnh; Giường; Tủ quần áo; Kệ bếp; Hút mùi; Tủ lạnh; Máy giặt chung,21.00961523,105.7968383,0373419985,3,https://yourhome.top/images/room-image-1789009448917-0-1789009494317.jpg | https://yourhome.top/images/room-image-1789009450578-1-1789009495532.jpg | https://yourhome.top/images/room-image-1789009450977-2-1789009495908.jpg,https://yourhome.top/?city=ha-noi
YourHome.top,YH_1789009232821,ngõ 20 Hồ Tùng mậu,Cầu Giấy,Mai Dịch,ngõ 20 Hồ Tùng mậu,5000000,Studio khép kín,30,4000,120000,100000,150000,0,1,1,1,1,0,0,0,Wifi; Điều hòa; Nóng lạnh; Giường; Tủ quần áo; Máy giặt chung; Kệ bếp; Tủ lạnh; Bàn ghế(sofa),21.03748105,105.7791893,0373419985,5,https://yourhome.top/images/room-image-1789009114751-0-1789009159997.jpg | https://yourhome.top/images/room-image-1789009116178-1-1789009161165.jpg | https://yourhome.top/images/room-image-1789009116620-2-1789009161545.jpg | https://yourhome.top/images/room-image-1789009117001-3-1789009161916.jpg | https://yourhome.top/images/room-image-1789009117364-4-1789009162294.jpg,https://yourhome.top/?city=ha-noi
YourHome.top,YH_1788943949226,VSKK-Ngõ 195 Trần cung ngách 48,Bắc Từ Liêm,Cổ Nhuế 1,VSKK-Ngõ 195 Trần cung ngách 48,3500000,Studio khép kín,28,4000,120000,100000,150000,0,1,1,0,1,0,0,0,Wifi; Điều hòa; Nóng lạnh; Giường; Tủ quần áo,21.05377313,105.7858898,0373419985,5,https://yourhome.top/images/room-image-1788943847088-0-1788943892485.jpg | https://yourhome.top/images/room-image-1788943848771-1-1788943894014.jpg | https://yourhome.top/images/room-image-1788943849386-2-1788943894424.jpg | https://yourhome.top/images/room-image-1788943849785-3-1788943894833.jpg | https://yourhome.top/images/room-image-1788943850236-4-1788943895273.jpg,https://yourhome.top/?city=ha-noi
YourHome.top,YH_1788943108251,402/28 Mỹ Đình,Nam Từ Liêm,Mỹ Đình 1,402/28 Mỹ Đình,4500000,Studio khép kín,25,4000,35000,100000,100000,0,1,1,0,0,0,0,0,Wifi; Điều hòa; Nóng lạnh; Giường; Tủ quần áo; pccc,21.0210727,105.7754666,0967980598,7,https://yourhome.top/images/room-image-1788942776677-0-1788942821844.jpg | https://yourhome.top/images/room-image-1788942778123-1-1788942823288.jpg | https://yourhome.top/images/room-image-1788942778738-2-1788942823814.jpg | https://yourhome.top/images/room-image-1788942779233-3-1788942824270.jpg | https://yourhome.top/images/room-image-1788942779583-4-1788942824630.jpg | https://yourhome.top/images/room-image-1788942780023-5-1788942825081.jpg | https://yourhome.top/images/room-image-1788942780546-6-1788942825634.jpg,https://yourhome.top/?city=ha-noi
YourHome.top,YH_1788942186368,ngõ 174 Đội Cấn,Ba Đình,Đội Cấn,ngõ 174 Đội Cấn,8000000,Studio khép kín,40,4000,35000,100000,100000,0,1,1,0,0,0,1,1,Điều hòa; Nóng lạnh; Giường; Tủ quần áo; Kệ bếp; Wifi; pccc; Cho nuôi pet; Ban công,21.03493634,105.8250858,0373419985,8,https://yourhome.top/images/room-image-1788942087898-0-1788942133270.jpg | https://yourhome.top/images/room-image-1788942089546-1-1788942134711.jpg | https://yourhome.top/images/room-image-1788942090109-2-1788942135199.jpg | https://yourhome.top/images/room-image-1788942090645-3-1788942135778.jpg | https://yourhome.top/images/room-image-1788942091161-4-1788942136279.jpg | https://yourhome.top/images/room-image-1788942091628-5-1788942136724.jpg | https://yourhome.top/images/room-image-1788942092162-6-1788942137296.jpg | https://yourhome.top/images/room-image-1788942092617-7-1788942137654.jpg,https://yourhome.top/?city=ha-noi
YourHome.top,YH_1788941341769,VSKK-211 Thuỵ Khuê,Tây Hồ,Thụy Khuê,VSKK-211 Thuỵ Khuê,5500000,Studio khép kín,20,4000,35000,100000,100000,0,1,1,0,0,0,0,1,Cho nuôi pet; Wifi; Nóng lạnh; Điều hòa; Giường; Tủ quần áo; Kệ bếp,21.0436907,105.8197549,0373419985,6,https://yourhome.top/images/room-image-1788941136872-0-1788941182174.jpg | https://yourhome.top/images/room-image-1788941138505-1-1788941183589.jpg | https://yourhome.top/images/room-image-1788941138932-2-1788941184019.jpg | https://yourhome.top/images/room-image-1788941139377-3-1788941184509.jpg | https://yourhome.top/images/room-image-1788941139886-4-1788941184922.jpg | https://yourhome.top/images/room-image-1788941140280-5-1788941185330.jpg,https://yourhome.top/?city=ha-noi
YourHome.top,YH_1788940941952,96/279 Đội Cấn,Ba Đình,Ngọc Hà,96/279 Đội Cấn,5500000,Studio khép kín,30,4000,35000,100000,100000,0,1,1,0,0,0,0,1,Cho nuôi pet; Wifi; Điều hòa; Nóng lạnh; Giường; Tủ quần áo; pccc; Kệ bếp,21.03745688,105.8205224,0373419985,6,https://yourhome.top/images/room-image-1788940772282-0-1788940817594.jpg | https://yourhome.top/images/room-image-1788940774033-1-1788940819195.jpg | https://yourhome.top/images/room-image-1788940774549-2-1788940819694.jpg | https://yourhome.top/images/room-image-1788940775065-3-1788940820133.jpg | https://yourhome.top/images/room-image-1788940775516-4-1788940820587.jpg | https://yourhome.top/images/room-image-1788940776015-5-1788940821109.jpg,https://yourhome.top/?city=ha-noi
YourHome.top,YH_1788940122865,358 Đường Bưởi,Ba Đình,Vĩnh Phúc,358 Đường Bưởi,6500000,Studio khép kín,35,4000,35000,100000,100000,0,1,1,0,0,1,0,1,Cho nuôi pet; Wifi; Điều hòa; Nóng lạnh; Giường; Tủ quần áo; Kệ bếp; Thang máy,21.04050188,105.8069502,0373419985,5,https://yourhome.top/images/room-image-1788939936541-0-1788939981688.jpg | https://yourhome.top/images/room-image-1788939938050-1-1788939983161.jpg | https://yourhome.top/images/room-image-1788939938488-2-1788939983575.jpg | https://yourhome.top/images/room-image-1788939938940-3-1788939984020.jpg | https://yourhome.top/images/room-image-1788939939450-4-1788939984540.jpg,https://yourhome.top/?city=ha-noi
YourHome.top,YH_1788939530981,ngõ 89 Phan Kế Bính,Ba Đình,Cống Vị,ngõ 89 Phan Kế Bính,6000000,Studio khép kín,25,4000,35000,100000,100000,0,1,1,1,0,0,0,0,Wifi; Điều hòa; Nóng lạnh; Tủ lạnh; Giường; Tủ quần áo; Kệ bếp; Hút mùi,21.03560318,105.8074587,0373419985,6,https://yourhome.top/images/room-image-1788939417586-0-1788939462767.jpg | https://yourhome.top/images/room-image-1788939419078-1-1788939464201.jpg | https://yourhome.top/images/room-image-1788939419553-2-1788939464635.jpg | https://yourhome.top/images/room-image-1788939419973-3-1788939465055.jpg | https://yourhome.top/images/room-image-1788939420387-4-1788939465482.jpg | https://yourhome.top/images/room-image-1788939420962-5-1788939466047.jpg,https://yourhome.top/?city=ha-noi
